node,N,Category,Kingdom,Phylum,Class,Order,Family,Genus,Species,Resolved.to,minimum.res.method,minimum.con.method,WHPT
Limnius volckmari,136,Invertebrate,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Limnius,volckmari,species,genus,genus,6.4
Esolus parallelepipedus,44,Invertebrate,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Esolus,parallelipedidus,species,genus,genus,6.4
Gyrinus,8,Invertebrate,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyrinus,,genus,genus,genus,7.8
Hydraena gracilis,1,Invertebrate,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,gracilis,species,genus,genus,5.1
Gammarus pulex,458,Invertebrate,Animalia,Arthropoda,Crustacea,Amphipoda,Gammaridae,Gammarus,pulex,species,genus,genus,4.5
Asellus aquaticus,1,Invertebrate,Animalia,Arthropoda,Crustacea,Isopoda,Asellidae,Asellus,aquaticus,species,genus,genus,2.1
Hydracarina,50,Invertebrate,Animalia,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Hydracarina,,genus,genus,genus,0
Polycelis,730,Invertebrate,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Planariidae,Polycelis,,genus,genus,genus,4.2
Lymnaea,4,Invertebrate,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Lymnaea,,genus,genus,genus,3
Radix peregra,6,Invertebrate,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Radix,peregra,species,genus,genus,3
Ancylus fluviatalis,40,Invertebrate,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Ancylus,fluviatalis,species,genus,genus,5.6
Planorbis,2,Invertebrate,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Planorbis,,genus,genus,genus,2.9
Pisidium,6,Invertebrate,Animalia,Mollusca,Bivalvia,NA,Sphaeriidae,Pisidium,,genus,genus,genus,3.6
Theodoxus fluviatalis,4,Invertebrate,Animalia,Mollusca,Gastropoda,NA,Neritidae,Theodoxus,,genus,genus,genus,7.5
Tanypodinae,144,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,,family,genus,genus,3.7
Orthocladiinae,667,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,,family,genus,genus,3.7
Chironominae,11,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,,family,genus,genus,3.7
Ceratopogonidae,2,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,family,family,family,3.7
Simulium,996,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,genus,genus,genus,5.8
Prosimulium,3,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,,genus,genus,genus,5.8
Dicranota,1,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Dicranota,,genus,genus,genus,3.7
Clinocera,8,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Empididae,Clinocera,,genus,genus,genus,3.7
Chelifera,3,Invertebrate,Animalia,Arthropoda,Insecta,Diptera,Empididae,Chelifera,,genus,genus,genus,3.7
Glossiphonia complanata,3,Invertebrate,Animalia,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Glossiphonia,complanata,species,genus,genus,3.1
Eiseniella tetraedra,6,Invertebrate,Animalia,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,Eiseniella,tetraedra,species,genus,genus,3.5
Lumbriculus variegatus,1,Invertebrate,Animalia,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,Lumbriculus,variegatus,species,genus,genus,3.5
Tubificidae,4,Invertebrate,Animalia,Annelida,Oligochaeta,Haplotaxida,Tubificidae,,,family,genus,genus,3.5
Cottus gobio,1,Vertebrate,Animalia,Chordata,Actinoptergii,Scorpaeniformes,Cottidae,Cottus,gobio,Species,genus,genus,NA
CPOM,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,genus,NA
FPOM,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,genus,NA
