country,year,site_id,landscape_type,transect,period,round,pollinator_group,pollinator_genus,pollinator_species,pollinator_species.1,plant_genus,plant_species
Germany,2011,1,low,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,other wild bee,Anthidium,punctatum,punctatum,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,other wild bee,Osmia,aurulenta,aurulenta,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,other wild bee,Osmia,tridentata,tridentata,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,other wild bee,Osmia,rufohirta,rufohirta,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,other wild bee,Osmia,rufohirta,rufohirta,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,other wild bee,Osmia,submicans,submicans,Hippocrepis,comosa
Germany,2011,2,high,1,after,3,other wild bee,Sphecodes,spec,spec,Achillea,millefolium
Germany,2011,2,high,1,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Achillea,millefolium
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,terrestris,terrestris,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,sylvarum,sylvarum,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,terrestris,terrestris,Centaurea,jacea
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Centaurea,jacea
Germany,2011,2,high,1,after,4,other wild bee,Lasioglossum,pauxillum,pauxillum,Centaurea,jacea
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,sylvarum,sylvarum,Centaurea,scabiosa
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Coronilla,varia
Germany,2011,2,high,2,after,3,other wild bee,Trachusa,byssinum,byssinum,Hippocrepis,comosa
Germany,2011,2,high,2,after,3,other wild bee,Trachusa,byssinum,byssinum,Hippocrepis,comosa
Germany,2011,2,high,1,after,4,Hoverfly,Eristalis,tenax,tenax,Knautia,arvensis
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Knautia,arvensis
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,terrestris,terrestris,Melampyrum,arvense
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Melampyrum,arvense
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,terrestris,terrestris,Melampyrum,arvense
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,terrestris,terrestris,Melampyrum,arvense
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,terrestris,terrestris,Melampyrum,arvense
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Melampyrum,arvense
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,terrestris,terrestris,Melampyrum,arvense
Germany,2011,2,high,1,after,4,Bumblebee,Bombus,sylvarum,sylvarum,Prunella,vulgaris
Germany,2011,2,high,2,after,4,other wild bee,Megachile,willughbiella,willughbiella,Prunella,vulgaris
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,terrestris,terrestris,Salvia,pratensis
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,pascuorum,pascuorum,Salvia,pratensis
Germany,2011,2,high,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Senecio,jacobaea
Germany,2011,2,high,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Senecio,jacobaea
Germany,2011,2,high,1,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,pascuorum,pascuorum,Stachys,recta
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,2,high,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,2,high,2,during,2,Bumblebee,Bombus,terrestris,terrestris,Ajuga,genevensis
Germany,2011,2,high,2,during,2,Honeybee,Apis,mellifera,mellifera,Ajuga,genevensis
Germany,2011,2,high,2,during,2,other wild bee,Ceratina,cyanea,cyanea,Ajuga,genevensis
Germany,2011,2,high,2,during,2,other wild bee,Lasioglossum,pygmaeum,pygmaeum,Ajuga,genevensis
Germany,2011,2,high,2,during,2,other wild bee,Melecta,albifrons,albifrons,Ajuga,genevensis
Germany,2011,2,high,1,during,2,other wild bee,Andrena,proxima,proxima,Anthriscus,sylvestris
Germany,2011,2,high,1,during,1,Hoverfly,Xanthogramma,citrofasciatum,citrofasciatum,Euphorbia,cyparissias
Germany,2011,2,high,2,during,1,other wild bee,Halictus,scabiosae,scabiosae,Euphorbia,cyparissias
Germany,2011,2,high,1,during,2,Hoverfly,Sphaerophoria,scripta,scripta,Euphorbia,cyparissias
Germany,2011,2,high,1,during,1,other wild bee,Andrena,minutula,minutula,Fragaria,viridis
Germany,2011,2,high,2,during,2,Bumblebee,Bombus,sylvarum,sylvarum,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,other wild bee,Osmia,gallarum,gallarum,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,other wild bee,Andrena,cineraria,cineraria,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,other wild bee,Halictus,maculatus,maculatus,Hippocrepis,comosa
Germany,2011,2,high,2,during,2,other wild bee,Osmia,bicolor,bicolor,Hippocrepis,comosa
Germany,2011,2,high,1,during,2,Bumblebee,Bombus,hortorum,hortorum,Salvia,pratensis
Germany,2011,2,high,1,during,2,other wild bee,Lasioglossum,xanthopus,xanthopus,Salvia,pratensis
Germany,2011,2,high,2,during,2,Bumblebee,Bombus,pascuorum,pascuorum,Salvia,pratensis
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Coronilla,varia
Germany,2011,3,low,1,after,4,Hoverfly,Episyrphus,balteatus,balteatus,Helianthemum,nummularium
Germany,2011,3,low,1,after,4,other wild bee,Halictus,tumulorum,tumulorum,Helianthemum,nummularium
Germany,2011,3,low,1,after,4,other wild bee,Lasioglossum,interruptum,interruptum,Helianthemum,nummularium
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,pratorum,pratorum,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,hypnorum,hypnorum,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,hortorum,hortorum,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,hortorum,hortorum,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,hortorum,hortorum,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,pratorum,pratorum,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,pratorum,pratorum,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,3,low,2,after,4,other wild bee,Lasioglossum,morio,morio,Origanum,vulgare
Germany,2011,3,low,2,after,4,other wild bee,Lasioglossum,politum,politum,Origanum,vulgare
Germany,2011,3,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,3,low,1,after,4,Bumblebee,Bombus,pascuorum,pascuorum,Prunella,vulgaris
Germany,2011,3,low,1,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,3,low,2,after,3,Bumblebee,Bombus,pratorum,pratorum,Stachys,recta
Germany,2011,3,low,2,after,3,Bumblebee,Bombus,pascuorum,pascuorum,Stachys,recta
Germany,2011,3,low,1,after,4,Bumblebee,Bombus,terrestris,terrestris,Thymus,praecox
Germany,2011,3,low,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Thymus,praecox
Germany,2011,3,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Thymus,praecox
Germany,2011,3,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Thymus,praecox
Germany,2011,3,low,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,3,low,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,3,low,2,during,2,other wild bee,Osmia,bicolor,bicolor,Hippocrepis,comosa
Germany,2011,3,low,1,during,1,other wild bee,Andrena,cineraria,cineraria,Potentilla,verna
Germany,2011,3,low,1,during,1,other wild bee,Lasioglossum,morio,morio,Potentilla,verna
Germany,2011,3,low,1,during,1,other wild bee,Halictus,tumulorum,tumulorum,Potentilla,verna
Germany,2011,3,low,1,during,1,other wild bee,Halictus,tumulorum,tumulorum,Potentilla,verna
Germany,2011,3,low,1,during,1,other wild bee,Lasioglossum,morio,morio,Potentilla,verna
Germany,2011,3,low,1,during,1,other wild bee,Halictus,tumulorum,tumulorum,Potentilla,verna
Germany,2011,3,low,1,during,1,other wild bee,Sphecodes,crassus,crassus,Potentilla,verna
Germany,2011,3,low,2,during,1,Hoverfly,Sphaerophoria,scripta,scripta,Potentilla,verna
Germany,2011,3,low,2,during,1,other wild bee,Osmia,bicolor,bicolor,Potentilla,verna
Germany,2011,3,low,2,during,1,other wild bee,Halictus,tumulorum,tumulorum,Potentilla,verna
Germany,2011,3,low,2,during,1,other wild bee,Andrena,haemorrhoa,haemorrhoa,Potentilla,verna
Germany,2011,3,low,2,during,1,other wild bee,Halictus,tumulorum,tumulorum,Potentilla,verna
Germany,2011,3,low,1,during,1,other wild bee,Lasioglossum,morio,morio,Prunella,vulgaris
Germany,2011,4,low,1,after,4,other wild bee,Lasioglossum,calceatum,calceatum,Achillea,millefolium
Germany,2011,4,low,1,after,4,other wild bee,Lasioglossum,glabriusculum,glabriusculum,Anthemis,tinctoria
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,4,low,1,after,3,Hoverfly,Eupeodes,luniger,luniger,Convolvulus,arvensis
Germany,2011,4,low,1,after,3,Hoverfly,Scaeva,selenitica,selenitica,Convolvulus,arvensis
Germany,2011,4,low,1,after,4,Hoverfly,Chrysotoxum,bicinctum,bicinctum,Convolvulus,arvensis
Germany,2011,4,low,1,after,4,other wild bee,Lasioglossum,calceatum,calceatum,Convolvulus,arvensis
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Coronilla,varia
Germany,2011,4,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Coronilla,varia
Germany,2011,4,low,1,after,4,Bumblebee,Bombus,terrestris,terrestris,Echium,vulgare
Germany,2011,4,low,1,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Galium,verum
Germany,2011,4,low,1,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Galium,verum
Germany,2011,4,low,1,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Galium,verum
Germany,2011,4,low,1,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Galium,verum
Germany,2011,4,low,2,after,4,Hoverfly,Episyrphus,balteatus,balteatus,Galium,verum
Germany,2011,4,low,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Galium,verum
Germany,2011,4,low,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Galium,verum
Germany,2011,4,low,2,after,4,other wild bee,Lasioglossum,fulvicorne,fulvicorne,Galium,verum
Germany,2011,4,low,2,after,4,other wild bee,Halictus,tumulorum,tumulorum,Galium,verum
Germany,2011,4,low,2,after,4,other wild bee,Lasioglossum,fulvicorne,fulvicorne,Galium,verum
Germany,2011,4,low,1,after,4,other wild bee,Hylaeus,annularis,annularis,Helianthemum,nummularium
Germany,2011,4,low,2,after,4,other wild bee,Halictus,rubicundus,rubicundus,Hypericum,perforatum
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,2,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,2,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,2,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,2,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,2,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Lotus,corniculatus
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Origanum,vulgare
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Origanum,vulgare
Germany,2011,4,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,4,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,4,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,4,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,4,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,4,low,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Origanum,vulgare
Germany,2011,4,low,2,after,4,other wild bee,Lasioglossum,glabriusculum,glabriusculum,Origanum,vulgare
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,terrestris,terrestris,Plantago,lanceolata
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,terrestris,terrestris,Plantago,lanceolata
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Plantago,lanceolata
Germany,2011,4,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Plantago,lanceolata
Germany,2011,4,low,1,after,3,Honeybee,Apis,mellifera,mellifera,Plantago,lanceolata
Germany,2011,4,low,1,after,3,Hoverfly,Eupeodes,luniger,luniger,Plantago,lanceolata
Germany,2011,4,low,2,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Salvia,verticillata
Germany,2011,4,low,2,after,3,Hoverfly,Eupeodes,luniger,luniger,Salvia,verticillata
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Stachys,recta
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Stachys,recta
Germany,2011,4,low,1,after,4,Bumblebee,Bombus,pascuorum,pascuorum,Teucrium,chamaedrys
Germany,2011,4,low,1,after,4,other wild bee,Halictus,tumulorum,tumulorum,Thymus,praecox
Germany,2011,4,low,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Thymus,praecox
Germany,2011,4,low,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Thymus,praecox
Germany,2011,4,low,1,after,4,Bumblebee,Bombus,pratorum,pratorum,Trifolium,pratense
Germany,2011,4,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Trifolium,pratense
Germany,2011,4,low,1,during,2,other wild bee,Lasioglossum,morio,morio,Fragaria,viridis
Germany,2011,5,high,1,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Bupleurum,falcatum
Germany,2011,5,high,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Bupleurum,falcatum
Germany,2011,5,high,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Bupleurum,falcatum
Germany,2011,5,high,2,after,4,Hoverfly,Sphaerophoria,scripta,scripta,Bupleurum,falcatum
Germany,2011,5,high,1,after,3,other wild bee,Halictus,simplex,simplex,Campanula,patula
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,5,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Coronilla,varia
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Echinops,sphaerocephalus
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Echinops,sphaerocephalus
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Echinops,sphaerocephalus
Germany,2011,5,high,1,after,4,Bumblebee,Bombus,sylvarum,sylvarum,Echinops,sphaerocephalus
Germany,2011,5,high,1,after,4,Honeybee,Apis,mellifera,mellifera,Echinops,sphaerocephalus
Germany,2011,5,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Echinops,sphaerocephalus
Germany,2011,5,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Echinops,sphaerocephalus
Germany,2011,5,high,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Echinops,sphaerocephalus
