lower guild,upper guild,lower.species,upper.species,fortotals,lower,upper
01PLANT.,02FV.,Cerastium fontanum,Platycheirus albimanus,4.59E+01,01PLANT.Cerastium fontanum,02FV.Platycheirus albimanus
01PLANT.,02FV.,Cerastium fontanum,Tetrastichinae sp,4.76E+02,01PLANT.Cerastium fontanum,02FV.Tetrastichinae sp
01PLANT.,02FV.,Cerastium fontanum,Torymus sp,6.53E+00,01PLANT.Cerastium fontanum,02FV.Torymus sp
01PLANT.,02FV.,Chaerophyllum temulum,Anaspis pulicaria,3.94E+01,01PLANT.Chaerophyllum temulum,02FV.Anaspis pulicaria
01PLANT.,02FV.,Cirsium arvense,Anapausis soluta,4.97E+01,01PLANT.Cirsium arvense,02FV.Anapausis soluta
01PLANT.,02FV.,Cirsium arvense,Anthomyza gracilis,4.97E+01,01PLANT.Cirsium arvense,02FV.Anthomyza gracilis
01PLANT.,02FV.,Cirsium arvense,Apis mellifera,2.40E+03,01PLANT.Cirsium arvense,02FV.Apis mellifera
01PLANT.,02FV.,Cirsium arvense,Bombus lapidarius,2.19E+02,01PLANT.Cirsium arvense,02FV.Bombus lapidarius
01PLANT.,02FV.,Cirsium arvense,Bombus pascuorum,2.19E+02,01PLANT.Cirsium arvense,02FV.Bombus pascuorum
01PLANT.,02FV.,Cirsium arvense,Bombus terrestris,4.97E+01,01PLANT.Cirsium arvense,02FV.Bombus terrestris
01PLANT.,02FV.,Cirsium arvense,Botanophila striolata,1.97E+01,01PLANT.Cirsium arvense,02FV.Botanophila striolata
01PLANT.,02FV.,Cirsium arvense,Bracon sp,1.47E+03,01PLANT.Cirsium arvense,02FV.Bracon sp
01PLANT.,02FV.,Cirsium arvense,Cheilosia honesta,4.97E+01,01PLANT.Cirsium arvense,02FV.Cheilosia honesta
01PLANT.,02FV.,Cirsium arvense,Chrysopilus asiliformis,8.71E+00,01PLANT.Cirsium arvense,02FV.Chrysopilus asiliformis
01PLANT.,02FV.,Cirsium arvense,Delia sp,4.97E+01,01PLANT.Cirsium arvense,02FV.Delia sp
01PLANT.,02FV.,Cirsium arvense,Dilophus febrilis,2.04E+02,01PLANT.Cirsium arvense,02FV.Dilophus febrilis
01PLANT.,02FV.,Cirsium arvense,Empis livida,7.87E+02,01PLANT.Cirsium arvense,02FV.Empis livida
01PLANT.,02FV.,Cirsium arvense,Episyrphus balteatus,4.97E+01,01PLANT.Cirsium arvense,02FV.Episyrphus balteatus
01PLANT.,02FV.,Cirsium arvense,Eriothrix rufomaculata,4.97E+01,01PLANT.Cirsium arvense,02FV.Eriothrix rufomaculata
01PLANT.,02FV.,Cirsium arvense,Eristalis arbustorum,1.15E+03,01PLANT.Cirsium arvense,02FV.Eristalis arbustorum
01PLANT.,02FV.,Cirsium arvense,Helophilus pendulus,1.31E+01,01PLANT.Cirsium arvense,02FV.Helophilus pendulus
01PLANT.,02FV.,Cirsium arvense,Heteronychia vagans,4.97E+01,01PLANT.Cirsium arvense,02FV.Heteronychia vagans
01PLANT.,02FV.,Cirsium arvense,Kuzinia sp,1.97E+01,01PLANT.Cirsium arvense,02FV.Kuzinia sp
01PLANT.,02FV.,Cirsium arvense,Lasioglossum sp,8.91E+01,01PLANT.Cirsium arvense,02FV.Lasioglossum sp
01PLANT.,02FV.,Cirsium arvense,Lucilia caesar,9.94E+01,01PLANT.Cirsium arvense,02FV.Lucilia caesar
01PLANT.,02FV.,Cirsium arvense,Lucilia sericata,3.94E+01,01PLANT.Cirsium arvense,02FV.Lucilia sericata
01PLANT.,02FV.,Cirsium arvense,Melanostoma mellinum,1.31E+01,01PLANT.Cirsium arvense,02FV.Melanostoma mellinum
01PLANT.,02FV.,Cirsium arvense,Melinda viridicyanea,4.97E+01,01PLANT.Cirsium arvense,02FV.Melinda viridicyanea
01PLANT.,02FV.,Cirsium arvense,Neomyia cornicina,1.57E+03,01PLANT.Cirsium arvense,02FV.Neomyia cornicina
01PLANT.,02FV.,Cirsium arvense,Neomyia viridescens,4.97E+01,01PLANT.Cirsium arvense,02FV.Neomyia viridescens
01PLANT.,02FV.,Cirsium arvense,Pegoplata aestiva or Adia cinerella,1.97E+01,01PLANT.Cirsium arvense,02FV.Pegoplata aestiva or Adia cinerella
01PLANT.,02FV.,Cirsium arvense,Pegoplata depilis,1.97E+01,01PLANT.Cirsium arvense,02FV.Pegoplata depilis
01PLANT.,02FV.,Cirsium arvense,Pierretia sp,1.97E+01,01PLANT.Cirsium arvense,02FV.Pierretia sp
01PLANT.,02FV.,Cirsium arvense,Platycheirus nielseni,1.97E+01,01PLANT.Cirsium arvense,02FV.Platycheirus nielseni
01PLANT.,02FV.,Cirsium arvense,Polyommatus icarus,4.97E+01,01PLANT.Cirsium arvense,02FV.Polyommatus icarus
01PLANT.,02FV.,Cirsium arvense,Pyronia tithonus,9.94E+01,01PLANT.Cirsium arvense,02FV.Pyronia tithonus
01PLANT.,02FV.,Cirsium arvense,Rhagonycha fulva,8.71E+00,01PLANT.Cirsium arvense,02FV.Rhagonycha fulva
01PLANT.,02FV.,Cirsium arvense,Rhingia campestris,1.15E+03,01PLANT.Cirsium arvense,02FV.Rhingia campestris
01PLANT.,02FV.,Cirsium arvense,Rhinophora lepida,3.94E+01,01PLANT.Cirsium arvense,02FV.Rhinophora lepida
01PLANT.,02FV.,Cirsium arvense,Scathophaga stercoraria,8.43E+02,01PLANT.Cirsium arvense,02FV.Scathophaga stercoraria
01PLANT.,02FV.,Cirsium arvense,Siphona geniculata,3.33E+03,01PLANT.Cirsium arvense,02FV.Siphona geniculata
01PLANT.,02FV.,Cirsium arvense,Sphaerophoria sp,6.94E+01,01PLANT.Cirsium arvense,02FV.Sphaerophoria sp
01PLANT.,02FV.,Cirsium arvense,Tetramesa sp,4.97E+01,01PLANT.Cirsium arvense,02FV.Tetramesa sp
01PLANT.,02FV.,Cirsium arvense,Theroscopus sp,3.94E+01,01PLANT.Cirsium arvense,02FV.Theroscopus sp
01PLANT.,02FV.,Cirsium arvense,Tricimba cincta,4.97E+01,01PLANT.Cirsium arvense,02FV.Tricimba cincta
01PLANT.,02FV.,Cirsium vulgare,Apis mellifera,1.74E+01,01PLANT.Cirsium vulgare,02FV.Apis mellifera
01PLANT.,02FV.,Cirsium vulgare,Bombus lapidarius,2.59E+03,01PLANT.Cirsium vulgare,02FV.Bombus lapidarius
01PLANT.,02FV.,Cirsium vulgare,Bombus pascuorum,2.40E+01,01PLANT.Cirsium vulgare,02FV.Bombus pascuorum
01PLANT.,02FV.,Cirsium vulgare,Bombus terrestris,6.05E+02,01PLANT.Cirsium vulgare,02FV.Bombus terrestris
01PLANT.,02FV.,Cirsium vulgare,Empis livida,4.35E+01,01PLANT.Cirsium vulgare,02FV.Empis livida
01PLANT.,02FV.,Cirsium vulgare,Oscinella frit,4.76E+02,01PLANT.Cirsium vulgare,02FV.Oscinella frit
01PLANT.,02FV.,Cirsium vulgare,Pieris brassicae,6.05E+02,01PLANT.Cirsium vulgare,02FV.Pieris brassicae
01PLANT.,02FV.,Cirsium vulgare,Sepsis fulgens,7.48E+02,01PLANT.Cirsium vulgare,02FV.Sepsis fulgens
01PLANT.,02FV.,Conolvulus/Calystegia,Bombus pascuorum,1.90E+01,01PLANT.Conolvulus/Calystegia,02FV.Bombus pascuorum
01PLANT.,02FV.,Conolvulus/Calystegia,Delia sp,5.25E+01,01PLANT.Conolvulus/Calystegia,02FV.Delia sp
01PLANT.,02FV.,Conolvulus/Calystegia,Empis livida,9.94E+01,01PLANT.Conolvulus/Calystegia,02FV.Empis livida
01PLANT.,02FV.,Conolvulus/Calystegia,Eupeodes luniger,4.97E+01,01PLANT.Conolvulus/Calystegia,02FV.Eupeodes luniger
01PLANT.,02FV.,Conolvulus/Calystegia,Melanostoma mellinum,4.97E+01,01PLANT.Conolvulus/Calystegia,02FV.Melanostoma mellinum
01PLANT.,02FV.,Conolvulus/Calystegia,Oedemera nobilis,4.97E+01,01PLANT.Conolvulus/Calystegia,02FV.Oedemera nobilis
01PLANT.,02FV.,Conolvulus/Calystegia,Platycheirus albimanus,1.90E+01,01PLANT.Conolvulus/Calystegia,02FV.Platycheirus albimanus
01PLANT.,02FV.,Conolvulus/Calystegia,Sphaerophoria sp,1.90E+01,01PLANT.Conolvulus/Calystegia,02FV.Sphaerophoria sp
01PLANT.,02FV.,Cornus sanguinea,Empis livida,4.35E+01,01PLANT.Cornus sanguinea,02FV.Empis livida
01PLANT.,02FV.,Cornus sanguinea,Rhagio tringarius,8.71E+00,01PLANT.Cornus sanguinea,02FV.Rhagio tringarius
01PLANT.,02FV.,Crataegus monogyna,Andrena dorsata,6.53E+00,01PLANT.Crataegus monogyna,02FV.Andrena dorsata
01PLANT.,02FV.,Crataegus monogyna,Bombus pascuorum,3.94E+01,01PLANT.Crataegus monogyna,02FV.Bombus pascuorum
01PLANT.,02FV.,Crataegus monogyna,Cantharis decipiens,1.97E+01,01PLANT.Crataegus monogyna,02FV.Cantharis decipiens
01PLANT.,02FV.,Crataegus monogyna,Chlorops hypostigma,1.97E+01,01PLANT.Crataegus monogyna,02FV.Chlorops hypostigma
01PLANT.,02FV.,Crataegus monogyna,Chlorops pumilionis,2.61E+01,01PLANT.Crataegus monogyna,02FV.Chlorops pumilionis
01PLANT.,02FV.,Crataegus monogyna,Delia sp,1.31E+01,01PLANT.Crataegus monogyna,02FV.Delia sp
01PLANT.,02FV.,Crataegus monogyna,Dilophus febrilis,1.97E+01,01PLANT.Crataegus monogyna,02FV.Dilophus febrilis
01PLANT.,02FV.,Crataegus monogyna,Glyphipterix simpliciella,1.97E+01,01PLANT.Crataegus monogyna,02FV.Glyphipterix simpliciella
01PLANT.,02FV.,Crataegus monogyna,Malachius bipustulatus,3.92E+01,01PLANT.Crataegus monogyna,02FV.Malachius bipustulatus
01PLANT.,02FV.,Crataegus monogyna,Oedemera nobilis,1.31E+01,01PLANT.Crataegus monogyna,02FV.Oedemera nobilis
01PLANT.,02FV.,Crataegus monogyna,Phyllonorycter sp,6.53E+00,01PLANT.Crataegus monogyna,02FV.Phyllonorycter sp
01PLANT.,02FV.,Crataegus monogyna,Platycheirus albimanus,2.62E+01,01PLANT.Crataegus monogyna,02FV.Platycheirus albimanus
01PLANT.,02FV.,Crataegus monogyna,Platypalpus sp,6.53E+00,01PLANT.Crataegus monogyna,02FV.Platypalpus sp
01PLANT.,02FV.,Crataegus monogyna,Scathophaga stercoraria,5.91E+01,01PLANT.Crataegus monogyna,02FV.Scathophaga stercoraria
01PLANT.,02FV.,Galium aparine,Hylemya vagans,2.98E+02,01PLANT.Galium aparine,02FV.Hylemya vagans
01PLANT.,02FV.,Galium aparine,Sciaridae sp,7.88E+01,01PLANT.Galium aparine,02FV.Sciaridae sp
01PLANT.,02FV.,Galium odoratum,Hercostomus parvilamellatus,7.46E+01,01PLANT.Galium odoratum,02FV.Hercostomus parvilamellatus
01PLANT.,02FV.,Geranium robertianum,Platycheirus albimanus,1.97E+01,01PLANT.Geranium robertianum,02FV.Platycheirus albimanus
01PLANT.,02FV.,Geranium robertianum,Rhingia campestris,7.46E+01,01PLANT.Geranium robertianum,02FV.Rhingia campestris
01PLANT.,02FV.,Heracleum sphondylium,Alysiinae sp,9.94E+01,01PLANT.Heracleum sphondylium,02FV.Alysiinae sp
01PLANT.,02FV.,Heracleum sphondylium,Anaspis maculata,3.68E+02,01PLANT.Heracleum sphondylium,02FV.Anaspis maculata
01PLANT.,02FV.,Heracleum sphondylium,Anaspis pulicaria,2.98E+02,01PLANT.Heracleum sphondylium,02FV.Anaspis pulicaria
01PLANT.,02FV.,Heracleum sphondylium,Anthophila fabriciana,1.39E+02,01PLANT.Heracleum sphondylium,02FV.Anthophila fabriciana
01PLANT.,02FV.,Heracleum sphondylium,Azelia zetterstedtii,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Azelia zetterstedtii
01PLANT.,02FV.,Heracleum sphondylium,Botanophila striolata,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Botanophila striolata
01PLANT.,02FV.,Heracleum sphondylium,Calliphora vicina,5.91E+01,01PLANT.Heracleum sphondylium,02FV.Calliphora vicina
01PLANT.,02FV.,Heracleum sphondylium,Cantharis nigra,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Cantharis nigra
01PLANT.,02FV.,Heracleum sphondylium,Cheilosia illustrata,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Cheilosia illustrata
01PLANT.,02FV.,Heracleum sphondylium,Chloromyia formosa,8.71E+00,01PLANT.Heracleum sphondylium,02FV.Chloromyia formosa
01PLANT.,02FV.,Heracleum sphondylium,Chlorops hypostigma,2.78E+02,01PLANT.Heracleum sphondylium,02FV.Chlorops hypostigma
01PLANT.,02FV.,Heracleum sphondylium,Chlorops pumilionis,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Chlorops pumilionis
01PLANT.,02FV.,Heracleum sphondylium,Chorebus sp,9.94E+01,01PLANT.Heracleum sphondylium,02FV.Chorebus sp
01PLANT.,02FV.,Heracleum sphondylium,Delia sp,5.47E+02,01PLANT.Heracleum sphondylium,02FV.Delia sp
01PLANT.,02FV.,Heracleum sphondylium,Dicraeus vagans,3.98E+02,01PLANT.Heracleum sphondylium,02FV.Dicraeus vagans
01PLANT.,02FV.,Heracleum sphondylium,Diplonevra sp,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Diplonevra sp
01PLANT.,02FV.,Heracleum sphondylium,Empis chioptera,1.31E+01,01PLANT.Heracleum sphondylium,02FV.Empis chioptera
01PLANT.,02FV.,Heracleum sphondylium,Empis livida,3.77E+02,01PLANT.Heracleum sphondylium,02FV.Empis livida
01PLANT.,02FV.,Heracleum sphondylium,Eristalis pertinax,9.94E+01,01PLANT.Heracleum sphondylium,02FV.Eristalis pertinax
01PLANT.,02FV.,Heracleum sphondylium,Eudasyphora cyanella,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Eudasyphora cyanella
01PLANT.,02FV.,Heracleum sphondylium,Fannia sp,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Fannia sp
01PLANT.,02FV.,Heracleum sphondylium,Formicidae A,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Formicidae A
01PLANT.,02FV.,Heracleum sphondylium,Glyphipterix simpliciella,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Glyphipterix simpliciella
01PLANT.,02FV.,Heracleum sphondylium,Grammoptera ruficornis,1.19E+02,01PLANT.Heracleum sphondylium,02FV.Grammoptera ruficornis
01PLANT.,02FV.,Heracleum sphondylium,Hemicrepidius hirtus,2.49E+02,01PLANT.Heracleum sphondylium,02FV.Hemicrepidius hirtus
01PLANT.,02FV.,Heracleum sphondylium,Limnophora triangula,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Limnophora triangula
01PLANT.,02FV.,Heracleum sphondylium,Melinda viridicyanea,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Melinda viridicyanea
01PLANT.,02FV.,Heracleum sphondylium,Microchrysa polita,1.31E+01,01PLANT.Heracleum sphondylium,02FV.Microchrysa polita
01PLANT.,02FV.,Heracleum sphondylium,Neomyia cornicina,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Neomyia cornicina
01PLANT.,02FV.,Heracleum sphondylium,Pegoplata infirma,1.99E+02,01PLANT.Heracleum sphondylium,02FV.Pegoplata infirma
01PLANT.,02FV.,Heracleum sphondylium,Pionini sp,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Pionini sp
01PLANT.,02FV.,Heracleum sphondylium,Platycheirus scutatus,1.97E+01,01PLANT.Heracleum sphondylium,02FV.Platycheirus scutatus
01PLANT.,02FV.,Heracleum sphondylium,Platypalpus sp,9.94E+01,01PLANT.Heracleum sphondylium,02FV.Platypalpus sp
01PLANT.,02FV.,Heracleum sphondylium,Pteromalidae,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Pteromalidae
01PLANT.,02FV.,Heracleum sphondylium,Scaptomyza pallida,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Scaptomyza pallida
01PLANT.,02FV.,Heracleum sphondylium,Scathophaga stercoraria,2.74E+02,01PLANT.Heracleum sphondylium,02FV.Scathophaga stercoraria
01PLANT.,02FV.,Heracleum sphondylium,Sciaridae sp,4.31E+03,01PLANT.Heracleum sphondylium,02FV.Sciaridae sp
01PLANT.,02FV.,Heracleum sphondylium,Sepsis fulgens,9.94E+01,01PLANT.Heracleum sphondylium,02FV.Sepsis fulgens
01PLANT.,02FV.,Heracleum sphondylium,Sepsis orthocnemis,9.94E+01,01PLANT.Heracleum sphondylium,02FV.Sepsis orthocnemis
01PLANT.,02FV.,Heracleum sphondylium,Sepsis violacea,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Sepsis violacea
01PLANT.,02FV.,Heracleum sphondylium,Tersilochus sp,1.31E+01,01PLANT.Heracleum sphondylium,02FV.Tersilochus sp
01PLANT.,02FV.,Heracleum sphondylium,Tiphia minuta,1.49E+02,01PLANT.Heracleum sphondylium,02FV.Tiphia minuta
01PLANT.,02FV.,Heracleum sphondylium,Volucella bombylans,4.97E+01,01PLANT.Heracleum sphondylium,02FV.Volucella bombylans
01PLANT.,02FV.,Lamiastrum galeobdolon,Platycheirus albimanus,7.46E+01,01PLANT.Lamiastrum galeobdolon,02FV.Platycheirus albimanus
01PLANT.,02FV.,Lamiastrum galeobdolon,Rhingia campestris,7.46E+01,01PLANT.Lamiastrum galeobdolon,02FV.Rhingia campestris
01PLANT.,02FV.,Lamium album,Bombus pascuorum,9.94E+01,01PLANT.Lamium album,02FV.Bombus pascuorum
01PLANT.,02FV.,Lapsana communis,Pegoplata aestiva or Adia cinerella,1.97E+01,01PLANT.Lapsana communis,02FV.Pegoplata aestiva or Adia cinerella
01PLANT.,02FV.,Leontodon autumnalis,Asecodes coronis,1.48E+03,01PLANT.Leontodon autumnalis,02FV.Asecodes coronis
01PLANT.,02FV.,Leontodon autumnalis,Botanophila striolata,1.48E+03,01PLANT.Leontodon autumnalis,02FV.Botanophila striolata
01PLANT.,02FV.,Leontodon autumnalis,Delia sp,1.48E+03,01PLANT.Leontodon autumnalis,02FV.Delia sp
01PLANT.,02FV.,Leontodon autumnalis,Halticoptera sp,1.48E+03,01PLANT.Leontodon autumnalis,02FV.Halticoptera sp
01PLANT.,02FV.,Leontodon autumnalis,Hexacola hexatoma,1.48E+03,01PLANT.Leontodon autumnalis,02FV.Hexacola hexatoma
01PLANT.,02FV.,Leontodon autumnalis,Kleidotoma tetratoma,1.04E+04,01PLANT.Leontodon autumnalis,02FV.Kleidotoma tetratoma
01PLANT.,02FV.,Leontodon autumnalis,Metopina sp,4.81E+03,01PLANT.Leontodon autumnalis,02FV.Metopina sp
01PLANT.,02FV.,Leontodon autumnalis,Pegoplata aestiva or Adia cinerella,1.48E+03,01PLANT.Leontodon autumnalis,02FV.Pegoplata aestiva or Adia cinerella
01PLANT.,02FV.,Leontodon autumnalis,Rhoptromeris heptoma,5.92E+03,01PLANT.Leontodon autumnalis,02FV.Rhoptromeris heptoma
01PLANT.,02FV.,Leontodon autumnalis,Rhoptromeris rufiventris,1.48E+03,01PLANT.Leontodon autumnalis,02FV.Rhoptromeris rufiventris
01PLANT.,02FV.,Leontodon autumnalis,Tetrastichinae sp,2.96E+03,01PLANT.Leontodon autumnalis,02FV.Tetrastichinae sp
01PLANT.,02FV.,Ligustrum vulgare,Anaspis maculata,1.49E+02,01PLANT.Ligustrum vulgare,02FV.Anaspis maculata
01PLANT.,02FV.,Ligustrum vulgare,Dolerus haematodes,6.53E+00,01PLANT.Ligustrum vulgare,02FV.Dolerus haematodes
01PLANT.,02FV.,Ligustrum vulgare,Epuraea melanocephala,3.13E+03,01PLANT.Ligustrum vulgare,02FV.Epuraea melanocephala
01PLANT.,02FV.,Matricaria recutita,Andrena minutula,9.94E+01,01PLANT.Matricaria recutita,02FV.Andrena minutula
01PLANT.,02FV.,Matricaria recutita,Anthomyia liturata,9.94E+01,01PLANT.Matricaria recutita,02FV.Anthomyia liturata
01PLANT.,02FV.,Matricaria recutita,Authonomus rubi,4.97E+01,01PLANT.Matricaria recutita,02FV.Authonomus rubi
